id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
DB00007,0.110355325,0.006273448,0.1350308,0.21575266,0.13400766,0.35677084,0.0,0.23206213,0.00850222,0.0,0.034464262,0.0,0.0,0.2549699,0.15085717,0.14382789,0.0,0.0,0.13085808,0.0,0.0,0.6937433,0.19716965,0.5592638,0.5591167,0.7641847,0.16739868,0.0,0.4688728,0.0,0.0,0.07721169,0.0,0.10060585,0.06953529,0.05602437,0.048695847,0.0,0.08721614,0.0,0.0,0.29495838,0.27048132,0.24726477,0.0,0.08091106,0.47253624,0.2574395,0.030766701,0.14588612,0.081507064,0.0,0.29793042,0.44452837,0.010596589,0.0,0.5248381,0.0,0.31591505,0.1106391,0.0,0.4425534,0.033813577,0.16484246
DB00010,0.112093195,0.07280447,0.19832204,0.1642928,0.11820694,0.24438162,0.0,0.13759615,0.0749705,0.0,0.17365663,0.08676745,0.010982604,0.110915154,0.15722573,0.03693188,0.015199676,0.05988562,0.116152525,0.03517438,0.01194374,0.37053448,0.1245222,0.42368686,0.41716155,0.49773014,0.14575294,0.0,0.3302708,0.11894949,0.05214529,0.097856686,0.014932141,0.096257836,0.02789429,0.0,0.02919674,0.0,0.11706448,0.048385147,0.031222107,0.054303374,0.17994826,0.18130554,0.0,0.077332914,0.37566304,0.25213498,0.049455725,0.03522578,0.08639613,0.020634357,0.28071323,0.36665288,0.11065171,0.032189198,0.32782313,0.073136166,0.29438987,0.037074704,0.0,0.29307348,0.06714344,0.23124105
DB00014,0.078040674,0.0,0.021025348,0.21112704,0.09841212,0.3097889,0.0,0.16963637,0.0,0.0,0.052239425,0.046938155,0.0,0.23617376,0.1014656,0.0,0.0,0.0,0.029225979,0.0,0.0,0.71733934,0.23506336,0.5247556,0.551126,0.7337614,0.120494515,0.0,0.46496332,0.0060156244,0.0,0.0,0.0,0.16154265,0.06285019,0.1233536,0.0,0.0,0.050342884,0.066394694,0.0,0.2624139,0.28861594,0.2409489,0.0,0.025770204,0.4702123,0.089133374,0.0,0.07207307,0.1152265,0.0,0.30977225,0.35077587,0.0,0.0,0.4147435,0.10318264,0.33532915,0.18328767,0.0,0.43533048,0.07582127,0.09411569
DB00017,0.112093195,0.07280447,0.19832204,0.1642928,0.11820694,0.24438162,0.0,0.13759615,0.0749705,0.0,0.17365663,0.08676745,0.010982604,0.110915154,0.15722573,0.03693188,0.015199676,0.05988562,0.116152525,0.03517438,0.01194374,0.37053448,0.1245222,0.42368686,0.41716155,0.49773014,0.14575294,0.0,0.3302708,0.11894949,0.05214529,0.097856686,0.014932141,0.096257836,0.02789429,0.0,0.02919674,0.0,0.11706448,0.048385147,0.031222107,0.054303374,0.17994826,0.18130554,0.0,0.077332914,0.37566304,0.25213498,0.049455725,0.03522578,0.08639613,0.020634357,0.28071323,0.36665288,0.11065171,0.032189198,0.32782313,0.073136166,0.29438987,0.037074704,0.0,0.29307348,0.06714344,0.23124105
DB00035,0.1341061,0.05042539,0.17412771,0.23231325,0.0,0.4035633,0.021208484,0.17908329,0.0,0.0,0.0,0.040459376,0.0,0.12145162,0.1975073,0.16326101,0.0,0.19539551,0.14641042,0.0,0.06454916,0.6185825,0.017430704,0.5147673,0.6933993,0.6522156,0.051160183,0.0,0.43529737,0.0,0.049315706,0.14712048,0.0,0.20752217,0.13596317,0.12073485,0.040387332,0.0,0.23719254,0.102908075,0.03240569,0.1911336,0.33020344,0.1836033,0.0,0.10650083,0.45879424,0.25915834,0.0045819893,0.03747532,0.0108718565,0.0,0.3091788,0.43047112,0.046925757,0.0,0.36219195,0.0,0.23987193,0.005300636,0.0,0.4332577,0.0,0.11822645
DB00067,0.08088786,0.06796188,0.16547208,0.17859237,0.08108891,0.33829427,0.0,0.1690914,0.0,0.0,0.0840492,0.0839418,0.0,0.068419255,0.18581681,0.11549991,0.0,0.124850325,0.13043082,0.0,0.0188036,0.6381497,0.0,0.60423356,0.63526154,0.6671665,0.045017663,0.0,0.5224949,0.02500695,0.09336209,0.1288114,0.0,0.21714972,0.13318567,0.09368513,0.007270787,0.0,0.2632351,0.14970347,0.011526664,0.13320257,0.33559066,0.19777219,0.0,0.09141459,0.5140984,0.26449096,0.0,0.0,0.042505533,0.0,0.3211389,0.39500564,0.09523172,0.0,0.30866256,0.0,0.2518814,0.05546019,0.0,0.46840027,0.0,0.17961212
DB00091,0.112093195,0.07280447,0.19832204,0.1642928,0.11820694,0.24438162,0.0,0.13759615,0.0749705,0.0,0.17365663,0.08676745,0.010982604,0.110915154,0.15722573,0.03693188,0.015199676,0.05988562,0.116152525,0.03517438,0.01194374,0.37053448,0.1245222,0.42368686,0.41716155,0.49773014,0.14575294,0.0,0.3302708,0.11894949,0.05214529,0.097856686,0.014932141,0.096257836,0.02789429,0.0,0.02919674,0.0,0.11706448,0.048385147,0.031222107,0.054303374,0.17994826,0.18130554,0.0,0.077332914,0.37566304,0.25213498,0.049455725,0.03522578,0.08639613,0.020634357,0.28071323,0.36665288,0.11065171,0.032189198,0.32782313,0.073136166,0.29438987,0.037074704,0.0,0.29307348,0.06714344,0.23124105
DB00104,0.24247666,0.035919666,0.26838732,0.28225324,0.15225534,0.33629403,0.0,0.2723105,0.0,0.0,0.14022498,0.043835044,0.0,0.0764119,0.16847005,0.117005564,0.0,0.09078157,0.14904574,0.0,0.15937597,0.60225326,0.18377757,0.57906294,0.5591296,0.802189,0.10032546,0.101434,0.6732164,0.030794669,0.06357491,0.14393102,0.07313411,0.15417519,0.107855424,0.030385753,0.0005688868,0.0,0.15279338,0.11704953,0.0571183,0.2674577,0.35581347,0.25014654,0.0,0.056097858,0.51258284,0.24404764,0.014523538,0.03393188,0.11612076,0.08768285,0.35146368,0.5274505,0.006905321,0.0,0.47236842,0.0,0.37006846,0.12338891,0.0,0.4976958,0.039457694,0.29155377
DB00114,0.099746384,0.13999736,0.24178311,0.23029886,0.11491956,0.4437111,0.016333986,0.23854949,0.102381974,0.0,0.17660998,0.116259456,0.0,0.12154615,0.23956776,0.0,0.0,0.07082143,0.21519367,0.02450131,0.0070969407,0.6698104,0.17313477,0.72852296,0.6093169,0.93330693,0.13137127,0.0,0.48564932,0.11289415,0.0,0.06144656,0.017798668,0.120466255,0.03884532,0.0014928308,0.014947384,0.0,0.17594944,0.030325962,0.00756344,0.096354425,0.222117,0.14353064,0.0,0.08105925,0.57573915,0.35514072,0.11450843,0.04230039,0.12625952,0.0,0.4668734,0.5164513,0.1560123,0.03355905,0.5103108,0.106329836,0.3916587,0.037192214,0.0,0.4632399,0.085901946,0.3431555
DB00115,0.12028425,0.00262606,0.14232258,0.44453025,0.104677655,0.23434466,0.0,0.09219494,0.078745134,0.0,0.0,0.041164123,0.21030533,0.115662456,0.25020933,0.04077628,0.0,0.0,0.30045334,0.0,0.0,0.7091079,0.21933937,0.5706329,0.42872345,0.682617,0.0,0.0,0.5618605,0.0,0.0,0.13666731,0.0,0.0,0.07502695,0.0,0.0,0.0,0.19362193,0.0,0.0011127449,0.13944077,0.0,0.0915086,0.0,0.11369383,0.7115522,0.3556466,0.10901674,0.16128716,0.018846808,0.0,0.30162922,0.46470094,0.26949388,0.0,0.42900994,0.026474256,0.38549358,0.16974454,0.0,0.44936058,0.08971714,0.24094112
